               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.014831,           0.0097828,           0.0041873,             0.98627,                   1,               0.995,             0.92508,           0.0035114,            0.003128,          0.00047307,             0.00307,             0.00307,             0.00307
                  37,            0.014075,           0.0094081,           0.0033722,             0.98618,                   1,               0.995,             0.94334,           0.0042996,           0.0031964,          0.00043387,            0.002872,            0.002872,            0.002872
                  38,            0.014691,             0.00993,           0.0027832,              0.9877,                   1,               0.995,             0.89732,           0.0050524,           0.0031857,          0.00040512,            0.002674,            0.002674,            0.002674
                  39,            0.012753,           0.0093071,           0.0037541,             0.98943,                   1,               0.995,              0.9207,           0.0049384,           0.0032898,          0.00037866,            0.002476,            0.002476,            0.002476
                  40,            0.012606,           0.0095445,           0.0025445,             0.98805,                   1,               0.995,             0.90523,           0.0039646,           0.0032726,          0.00036478,            0.002278,            0.002278,            0.002278
                  41,            0.018296,            0.009478,           0.0062593,             0.98709,                   1,               0.995,             0.90286,           0.0042328,           0.0031989,           0.0003479,             0.00208,             0.00208,             0.00208
                  42,             0.01356,            0.009008,           0.0041315,             0.98703,                   1,               0.995,             0.92776,           0.0031463,           0.0031965,          0.00033917,            0.001882,            0.001882,            0.001882
                  43,            0.011899,           0.0084255,           0.0035812,             0.98147,             0.99368,               0.995,             0.92645,           0.0043912,           0.0030751,          0.00032473,            0.001684,            0.001684,            0.001684
                  44,            0.016171,           0.0091368,           0.0057439,             0.98361,               0.987,               0.995,             0.90454,           0.0033407,           0.0030084,          0.00031493,            0.001486,            0.001486,            0.001486
                  45,            0.012569,           0.0085575,           0.0092817,             0.98437,             0.98745,               0.995,             0.91785,           0.0035393,           0.0030657,          0.00030835,            0.001288,            0.001288,            0.001288
                  46,              0.0114,           0.0092611,           0.0024848,             0.98157,             0.99547,               0.995,               0.919,           0.0037463,           0.0032049,          0.00029476,             0.00109,             0.00109,             0.00109
                  47,            0.011509,           0.0085594,           0.0025334,             0.98132,             0.99549,               0.995,             0.94075,           0.0029142,           0.0031457,          0.00029104,            0.000892,            0.000892,            0.000892
                  48,            0.012293,           0.0081825,           0.0028222,             0.98768,             0.99028,               0.995,              0.9469,           0.0030208,           0.0030827,          0.00028682,            0.000694,            0.000694,            0.000694
                  49,            0.012412,           0.0094021,           0.0051716,              0.9871,             0.99627,               0.995,             0.94023,           0.0029783,           0.0031141,          0.00028324,            0.000496,            0.000496,            0.000496
